price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
2395917,6666,2,1,2,no,yes,no,yes,no,0,no,semi-furnished
2468094,6468,4,2,1,no,no,yes,yes,no,0,no,semi-furnished
2644495,6468,2,1,1,no,yes,yes,yes,yes,1,yes,unfurnished
2796600,5120,3,3,3,yes,no,yes,yes,yes,2,yes,furnished
2255697,3952,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
2402476,2134,3,2,3,no,no,no,yes,yes,2,yes,unfurnished
3023127,9045,5,3,1,yes,yes,yes,yes,no,1,yes,furnished
2010089,3509,4,2,1,no,no,no,no,no,1,no,furnished
2654590,8465,2,1,2,no,no,no,yes,yes,1,yes,unfurnished
2981127,9459,5,1,1,no,yes,yes,yes,no,0,no,semi-furnished
2323500,5701,2,1,3,yes,yes,yes,no,no,2,yes,furnished
3089653,6875,4,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
3503670,9546,3,3,3,yes,yes,yes,no,yes,2,no,semi-furnished
2239339,4142,4,3,1,no,no,yes,no,no,2,no,semi-furnished
1966835,5187,2,2,2,no,no,no,no,no,0,yes,unfurnished
2376743,7891,4,1,3,no,yes,no,yes,no,2,yes,furnished
2413972,7460,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
3120661,9518,3,3,1,yes,yes,yes,yes,yes,0,no,unfurnished
2571924,7635,5,1,3,no,yes,yes,yes,no,0,yes,unfurnished
2836145,5116,2,2,3,yes,no,no,yes,yes,1,yes,semi-furnished
1675845,2544,3,1,1,no,no,yes,no,no,0,yes,semi-furnished
2640755,6620,2,1,1,yes,yes,no,yes,no,1,no,unfurnished
2560523,4955,3,3,3,yes,yes,no,no,no,1,yes,semi-furnished
2824740,7410,4,1,1,no,no,yes,yes,yes,1,no,furnished
2888836,7475,2,2,2,yes,no,yes,no,no,2,no,unfurnished
2490551,6445,3,1,3,yes,yes,no,yes,no,2,yes,semi-furnished
2721347,8720,4,2,3,no,no,yes,yes,no,0,yes,furnished
2045513,5812,2,2,3,no,yes,yes,yes,no,2,yes,furnished
1979953,2791,4,3,1,no,no,yes,yes,no,1,yes,semi-furnished
2836745,5917,3,1,2,yes,yes,no,yes,yes,2,no,unfurnished
2559020,6940,2,3,2,no,yes,yes,no,yes,2,no,semi-furnished
2328556,5324,3,2,1,no,yes,yes,no,yes,0,yes,furnished
3153172,9172,4,2,2,no,yes,yes,yes,yes,0,no,furnished
2395247,8219,3,2,3,no,no,no,yes,no,0,no,unfurnished
3102883,9716,2,2,1,yes,yes,yes,yes,no,1,no,unfurnished
2740275,7514,3,1,2,yes,yes,yes,yes,no,0,yes,furnished
2316856,2173,3,3,2,yes,yes,yes,no,yes,0,no,unfurnished
3292095,8757,3,2,3,yes,no,yes,no,yes,1,no,unfurnished
3297423,8447,5,2,3,yes,yes,no,no,yes,1,no,furnished
2761179,5150,5,3,2,yes,yes,no,no,no,2,yes,unfurnished
2331640,7754,3,1,3,no,yes,no,yes,no,2,yes,unfurnished
3357509,9887,5,3,2,yes,no,no,yes,no,1,no,furnished
2328977,3359,2,3,3,no,no,yes,no,yes,1,no,furnished
2783189,6424,5,3,3,no,yes,yes,yes,no,2,no,unfurnished
2763684,5071,5,3,3,yes,no,yes,yes,no,0,no,furnished
1931177,2043,3,2,3,no,no,yes,no,no,0,yes,furnished
3020081,7304,5,2,1,yes,yes,yes,yes,yes,0,no,semi-furnished
2972130,9216,4,2,1,no,no,no,no,no,1,yes,semi-furnished
3416864,8705,5,2,1,yes,no,no,yes,yes,2,yes,semi-furnished
2559148,6581,2,3,1,no,no,no,no,no,2,yes,furnished
2856782,8779,2,3,2,no,yes,yes,yes,no,2,yes,unfurnished
2721099,8413,4,3,3,yes,yes,no,yes,no,2,yes,furnished
2105445,4040,5,1,1,yes,yes,yes,no,no,1,no,semi-furnished
2657393,4725,3,3,2,yes,yes,no,yes,yes,2,no,unfurnished
2209782,7197,2,2,1,no,no,yes,yes,no,0,no,furnished
2116558,3188,3,3,1,yes,no,no,no,no,2,yes,furnished
2205766,4045,5,1,2,no,no,yes,no,yes,2,yes,furnished
2044843,4383,4,3,3,no,no,yes,no,no,0,no,semi-furnished
2402927,4106,4,1,1,no,yes,no,yes,yes,0,yes,furnished
2560636,5055,2,3,2,no,yes,no,yes,yes,1,yes,unfurnished
2174193,4867,5,1,2,yes,yes,no,no,no,0,yes,semi-furnished
2717932,5845,3,3,1,no,no,no,no,yes,1,no,unfurnished
2741864,7677,3,1,2,yes,no,no,yes,yes,0,no,furnished
2404482,2167,5,1,2,no,yes,no,yes,yes,0,no,furnished
2513375,7178,2,2,3,yes,yes,yes,yes,no,0,no,furnished
2655242,3292,5,1,3,yes,yes,no,yes,yes,1,no,unfurnished
2989908,8695,5,1,2,no,yes,no,no,yes,0,yes,semi-furnished
2432686,5827,2,3,2,no,yes,no,yes,yes,2,no,semi-furnished
2408240,2665,5,3,1,no,yes,yes,yes,yes,0,no,semi-furnished
1709900,2736,2,1,3,no,no,no,yes,no,1,yes,furnished
2547446,4955,3,2,1,no,yes,yes,no,yes,0,yes,furnished
2259319,5015,2,1,2,no,yes,yes,no,yes,1,no,semi-furnished
2554284,4556,4,3,3,yes,no,yes,yes,no,1,no,unfurnished
2014974,3788,5,1,1,yes,yes,no,yes,no,1,yes,furnished
2693994,6345,3,3,1,no,yes,no,yes,no,2,no,unfurnished
2424927,4297,4,3,1,yes,yes,no,yes,no,0,yes,furnished
2577145,6919,3,2,1,no,yes,yes,yes,yes,0,yes,furnished
2954661,7037,5,2,1,yes,yes,yes,yes,no,2,no,unfurnished
2125662,3318,2,3,1,yes,yes,yes,no,no,0,no,unfurnished
2291644,5626,3,3,1,no,no,no,yes,no,1,yes,furnished
2257763,4419,2,3,2,no,no,yes,yes,no,0,yes,furnished
2354024,4555,3,3,3,no,yes,no,no,yes,2,no,unfurnished
2919162,7644,3,2,3,yes,no,yes,no,yes,2,yes,furnished
2418447,9090,4,1,1,no,yes,yes,no,no,2,yes,furnished
2361926,7789,4,1,1,no,no,yes,no,no,0,no,furnished
3013653,9501,5,2,1,no,no,no,no,yes,1,yes,furnished
2685939,6236,3,1,3,yes,no,no,no,yes,0,no,unfurnished
2171226,3799,3,2,3,no,no,yes,yes,yes,2,no,furnished
2653597,4899,3,1,2,yes,no,no,no,yes,0,yes,unfurnished
2989028,8247,2,1,1,yes,no,no,no,yes,0,no,furnished
2410612,3066,5,2,3,yes,yes,no,no,yes,2,yes,semi-furnished
2487258,5145,3,2,3,no,yes,yes,yes,yes,2,yes,unfurnished
2605289,3700,5,3,1,yes,no,no,yes,yes,0,no,furnished
2666085,6031,5,3,2,yes,yes,yes,yes,no,0,yes,unfurnished
1887320,2419,3,2,3,yes,yes,no,yes,no,0,yes,unfurnished
2730779,5753,3,2,1,yes,no,no,no,yes,0,no,unfurnished
1842342,2406,3,1,2,no,yes,no,no,yes,2,yes,unfurnished
2649760,6501,3,1,1,yes,no,yes,yes,no,0,yes,unfurnished
3141376,9911,2,3,2,yes,yes,yes,no,no,0,yes,semi-furnished
2773870,8367,2,3,3,no,yes,yes,yes,yes,0,no,furnished
1898888,4090,3,2,2,no,no,no,yes,no,0,no,semi-furnished
3384710,9237,4,3,3,yes,no,yes,no,yes,0,yes,furnished
3122147,9909,5,1,1,yes,yes,yes,no,no,0,no,unfurnished
2480252,5731,2,2,1,yes,yes,no,yes,no,1,yes,semi-furnished
2147051,4611,4,1,3,no,no,yes,no,no,1,no,furnished
2669052,4545,3,3,1,yes,no,yes,no,yes,1,no,unfurnished
2526143,5920,4,3,1,no,yes,yes,yes,yes,0,no,unfurnished
2250858,4149,5,2,2,no,no,no,yes,no,1,no,unfurnished
2981307,6071,4,2,1,yes,no,no,yes,yes,0,yes,semi-furnished
2607276,7537,4,3,2,no,yes,yes,no,no,1,yes,unfurnished
2266493,5089,2,2,1,no,yes,no,no,yes,1,no,unfurnished
2221493,4769,5,1,1,yes,yes,yes,yes,no,1,no,unfurnished
1854096,2534,2,1,3,yes,yes,yes,yes,no,2,yes,unfurnished
2578530,2718,2,3,1,yes,yes,yes,no,yes,1,no,unfurnished
2529783,5016,5,1,2,yes,yes,no,no,yes,1,yes,furnished
2414228,5418,3,1,1,yes,yes,yes,no,no,1,no,semi-furnished
2322953,4776,4,2,3,no,no,yes,yes,yes,1,no,furnished
2747782,7017,3,1,1,yes,yes,yes,no,no,1,no,unfurnished
2065008,4344,5,1,2,no,no,yes,yes,no,2,yes,furnished
2391112,8203,4,1,2,no,yes,no,no,no,2,no,unfurnished
2047710,5484,2,1,1,no,no,no,no,no,1,no,unfurnished
